text,label,prediction,cleaned_prediction
"Worth the entertainment value of a rental, especially if you like action movies. This one features the usual car chases, fights with the great Van Damme kick style, shooting battles with the 40 shell load shotgun, and even terrorist style bombs. All of this is entertaining and competently handled but there is nothing that really blows you away if you've seen your share before.<br /><br />The plot is made interesting by the inclusion of a rabbit, which is clever but hardly profound. Many of the characters are heavily stereotyped -- the angry veterans, the terrified illegal aliens, the crooked cops, the indifferent feds, the bitchy tough lady station head, the crooked politician, the fat federale who looks like he was typecast as the Mexican in a Hollywood movie from the 1940s. All passably acted but again nothing special.<br /><br />I thought the main villains were pretty well done and fairly well acted. By the end of the movie you certainly knew who the good guys were and weren't. There was an emotional lift as the really bad ones got their just deserts. Very simplistic, but then you weren't expecting Hamlet, right? The only thing I found really annoying was the constant cuts to VDs daughter during the last fight scene.<br /><br />Not bad. Not good. Passable 4.",0,Neutral.,neutral
"First off let me say, If you haven't enjoyed a Van Damme movie since bloodsport, you probably will not like this movie. Most of these movies may not have the best plots or best actors but I enjoy these kinds of movies for what they are. This movie is much better than any of the movies the other action guys (Segal and Dolph) have thought about putting out the past few years. Van Damme is good in the movie, the movie is only worth watching to Van Damme fans. It is not as good as Wake of Death (which i highly recommend to anyone of likes Van Damme) or In hell but, in my opinion it's worth watching. It has the same type of feel to it as Nowhere to Run. Good fun stuff!",0,Neutral,neutral
"Low budget horror movie. If you don't raise your expectations too high, you'll probably enjoy this little flick. Beginning and end are pretty good, middle drags at times and seems to go nowhere for long periods as we watch the goings on of the insane that add atmosphere but do not advance the plot. Quite a bit of gore. I enjoyed Bill McGhee's performance which he made quite believable for such a low budget picture, he managed to carry the movie at times when nothing much seemed to be happening. Nurse Charlotte Beale, played by Jesse Lee, played her character well so be prepared to want to slap her toward the end! She makes some really stupid mistakes but then, that's what makes these low budget movies so good! I would have been out of that place and five states away long before she even considered that it might be a good idea to leave! If you enjoy this movie, try Committed from 1988 which is basically a rip off of this movie.",0,Neutral,neutral
"I'm the type of guy who loves hood movies from New Jack City to Baby Boy to Killa Season, from the b grade to the Hollywood. but this movie was something different. i am no hater and this movie was kinda enjoyable. but some bits were just weird. well the acting wasn't to good, compared to Silkk The Shockers performance in Hot Boyz (quite good) and Ice-T in new Jack and SVU (great). the scene where Corrupt (Ice-T) kills the wanna be Jamaican dude he says something and lights himself on fire burning both Ice-T and the other dude, this kills the Jamaican, however Ice-T is unharmed, very similar to Ice's other movie Urban Menace (which stars both of these actors) were Snoops character is supernatural, however after this there is nothing suggested that Corrupt is like a demon. When MJ (Silkk) gets stabbed at first he struggling but after that he fights normally and was stabbed in the thigh-WITH OUT BLOOD. and when MJ confesses killing a cop cos the cop was beating up his friend Benny was weird, Benny isn't introduced in this movie and the scene isn't in the film. it does hold weight to the fact why Corrupt wants to kill MJ but is still makes u scratch your head. wen Jody writes a letter to Miss Jones character explaining what happened to them afterwords doesn't mention what happen 2 other main characters MJ and Lisa. the film did show the horror and poverty of the ghetto-which plagues the lives of Latinos and Blacks word wide-was a good part of the film, even though the clip of the projects was re-used thousands of times. and the scene where Miles kills the Latino brother by crashing his bike at full speed (not wearing a helmet) and running into my Latino brothers car would of killed him. the movie was similar to the film Urban Menace and half the actors were in both of these movies as well as the production team. it was OK tho. but me being from poverty i love hood films, however if u don't love em like i do Don't WATCH IT. only thing saving me from walking out is it reminded me of the first movie i made which was made with 100 dollars, and my love of the genre.<br /><br />Nathaniel Purez",0,Neutral,neutral
"'Bloody Birthday' is an odd and, at times, humorous low-budget horror flick along the lines of 'Mikey' or a less intelligent version of 'The Good Son'.<br /><br />Set in a small Californian town, three babies are born at the height of an eclipse, where planetary alignment means they are somehow born without emotions. Ten years later, our three little psychopaths take themselves on a killing spree, doing away with parents, siblings, teachers and anyone else who irritates them. Only one teenage girl knows the truth to be able to stop them. There is no explanation for why babies across the world born at the same time aren't equally as twisted but there you go!<br /><br />For a slasher film, it's very tame in terms of violence and gore, which I suppose highlights the problem of casting child characters as the killers as there is only so much you can expose the young actors to. Instead, it's amusing and a little disturbing seeing three ten-year-olds plotting murders and carrying out their plans using guns, knives and crossbows. The main reason why it doesn't descend into being totally ridiculous is because the child actors are very convincing in their roles with the way they slyly play the little innocents in front of undiscerning adults while showing their dark side to the girl who knows the truth.<br /><br />'Bloody Birthday' is rather mediocre as a horror flick, with few scares and little blood, but because it has the shock factor of having kids as the killers, it is a bit unique in that way. One to watch if there's nothing else on.",0,Neutral,neutral
"""RVAM""'s reputation preceded it. I first heard of it in one of those Medved style movie books, ""The 50 Worst Movies Ever"" or ""The Golden Turkey Awards"", or something like that. Every review of the film basically said that this movie was so bad that it would make you bleed from the eyes to watch it. So when the Exposed Film Society finally got around to showing it, I was anticipating the kind of cathartic experience that only a true cinematic stinker can provide. <br /><br />However, ""Robot"" wasn't really all that bad. <br /><br />Oh, this is definitely a ""Z"" film through and through. Some of the voice dubbing (as is usually the case for K. Gordon Murray imports) is awfully cheesy, and the movie itself seems to be structurally something of a Frankenstein, since a huge chunk of it seems to be footage from a previous ""Aztec Mummy"" movie, narrated with a voice-over by the leading man. A dead giveaway: anytime the question ""Then what happened?"" is asked more than twice in the dialog, you are looking at reassembled footage put together with little regard for plot coherence or momentum. In RVAM, ""Then what happened?"" or ""What happened then?"" is uttered at least four times in the 1st hour. <br /><br />Even without the structural problems, the plot and dialog don't translate well to an older American audience. For instance, as the hero explains (and explains and explains) the back-story. he includes a remark about Doctor Krupp, ""a doctor who suddenly turned into an evil master criminal"" and began his quest for the treasure that the Aztec mummy guards. No background, no explanation, he just ""suddenly turned evil"". Obviously, this was aimed at a pretty undiscriminating audience. <br /><br />The clincher, though, is the ""Robot"", the supposed ""showcase"" of this movie. This Robot is the worst robot special effect since ""Undersea Kingdom"" or even ""Santa Claus Vs. The Martians"". Compared to this hunk of junk, the Tin Man from the ""Wizard Of Oz"" looked like the Terminator chassis that chased Linda Connor through the foundry in T2. The Aztec Mummy himself is well designed and executed; he's recognizably undead, familiar enough to look like a mummy, and yet distinct from the ""Boris Karloff"" bandage collection familiar to most American audiences. But whoever designed the Robot in this followup had no feel for the concept...or no budget. They could at least have given him some knees, for heaven's sake. <br /><br />In addition, the titular battle is terribly executed and lasts less than 60 seconds. (I've seen shoving matches on junior high playgrounds that are more convincing.) Then the movie basically just stops. That seems a bit of a rip off considering the amount of time the movie spends building up to the battle itself.<br /><br />In spite of all these problems, the movie isn't horrible or incompetent the way a Coleman Francis film or a Larry Buchanan film was. Compared to ""Monster A-Go-Go"" or ""Attack of The Eye Creatures"", ""RVTAM"" is like a Coppola film. It's just kind of dull and boring and silly. The actors are competent (in a mannered B movie way) and reasonably photogenic; Dr. Krupp, in particular seems to be having a wonderful time as he leers and plots and capers about in his cape and ""Phantom Of the Opera"" suit. I often found myself rooting for him, in spite of his being the villain. <br /><br />Anyway, I've seen much, much worse. File this with ""Samson Vs The Vampire Women"", under ""interesting Mexican juvenile oddities"".",0,Neutral,neutral
"Just watched on UbuWeb this early experimental short film directed by William Vance and Orson Welles. Yes, you read that right, Orson Welles! Years before he gained fame for radio's ""The War of the Worlds"" and his feature debut Citizen Kane, Welles was a 19-year-old just finding his muse. Besides Vance and Welles, another player here was one Virginia Nicholson, who would become Orson's first wife. She plays a woman who keeps sitting on something that rocks back and forth courtesy of an African-American servant (Paul Edgerton in blackface). During this time a man (Welles) keeps passing her by (courtesy of the scene constantly repeating). I won't reveal any more except to say how interesting the silent images were as they jump-cut constantly. That's not to say this was any good but it was fascinating to watch even with the guitar score (by Larry Morotta) added in the 2005 print I watched. Worth a look for Welles enthusiasts and anyone with a taste of the avant-garde.",0,Neutral.,neutral
"I should start off by saying I have something of a love-hate relationship with musicals. Some of them are fantastic, some are downright crap. So I expected Hair to fall into one of those categories. However, it didn't, falling instead in the middle.<br /><br />The songs aren't brilliant, though the ""Sodomy"" song did make me smile a lot, and everything is rather dated looking. But the movie didn't draw me in as others have, such as Rocky Horror. Although that's a bad example, since for years I hated Rocky Horror, then all of a sudden I got it and have loved it ever since. Maybe Hair will be the same. Although I doubt it will get as much exposure as Rocky Horror due to the language and nudity content, so I doubt I will get the chance to have it grow on me. Gettit? Hair....grow...oh suit yourself.<br /><br />Anyhow, I didn't get to see the last fifteen minutes or so due to a technical glitch, which was a shame, since I would have liked to see how it ended, especially after reading some of the reviews here.<br /><br />Not a film for the casual cinema-goer, but definitely one for musical lovers. I really hope they don't re-make it, though, since I think any such re-make would end up a shallow, pale, PC version of the original.<br /><br />Worth a look for lovers of the genre.",0,Neutral,neutral
"You'd hardly know that a year later MGM put Norma Shearer in THE DIVORCEE which glows with MGM technical know how. How far they came in one year. CHENEY is a very stagey early talkie. The camera hardly moves. Shearer is her usual charming self and Rathbone does well in a romantic leading role. They are all very careful to speak clearly and slowly into the microphone source which does mitigate against a naturally flowing dramatic scene, but the play is a sturdy and fun warhorse so one can enjoy oneself if one's expectations are not too high. Oh, by the way, the plot involves a ring of upper class jewel thieves who infiltrate themselves into society to prey on their victims. There are some clever twists in the script and true love conquers all. An Oscar nom for Best Screenplay Adaptation.",0,Neutral,neutral
"I think its safe to say that if you only really watch box office standard films or any premium production don't bother with this film as you will hate it. If you are an overly critical film buff don't bother either. If you love science fiction films and don't care what capacity you get a glimpse of the future in then you'll be mildly entertained. It is very obvious that the budget for this was super super low but what they have done with the money is worth a pat on the back. Some of the burning fire scenes were pretty bad and the evacuation scenes were terrible but it is quite obvious that they had some good support from a computer perspective as the planet scenes and the alien images were quite inventive. The dialog is down right hilarious but acting not altogether poor. As for the story well, I'm not too sure what actually happened at all to tell you the truth.",0,Neutral,neutral
