idx,text,label,prediction,cleaned_prediction
7,of saucy ,1,neutral,neutral
15,the greatest musicians ,1,neutral,neutral
22,a smile on your face ,1,neutral,neutral
27,in world cinema ,1,neutral,neutral
31,on all cylinders ,1,Neutral,neutral
37,heroes ,1,neutral,neutral
45,gorgeous and deceptively minimalist ,1,neutral,neutral
81,generates ,1,neutral,neutral
92,strung-together moments ,0,neutral,neutral
93,", generous and subversive artworks ",1,neutral,neutral
95,funny yet ,1,neutral,neutral
100,in memory ,1,neutral,neutral
101,respectable new one ,1,neutral,neutral
111,hawaiian shirt ,1,neutral,neutral
130,cinematic bon bons ,1,neutral,neutral
132,a lively and engaging examination of how similar obsessions can dominate a family . ,1,neutral,neutral
141,that underscore the importance of family tradition and familial community ,1,neutral,neutral
147,realistic portrayal ,1,neutral,neutral
153,the promise of digital filmmaking ,1,neutral,neutral
158,", sometimes beautiful adaptation ",1,neutral,neutral
159,about as interesting ,0,neutral,neutral
164,at its best moments ,1,neutral,neutral
170,", compelling ",1,neutral,neutral
171,infectiously ,1,Neutral,neutral
177,imax in short ,1,neutral,neutral
212,"if it is n't entirely persuasive , it does give exposure to some talented performers ",1,neutral,neutral
233,as a dentist 's waiting room ,0,neutral,neutral
234,showing honest emotions ,1,neutral,neutral
240,to spare wildlife ,1,neutral,neutral
243,traditionally structured ,1,neutral,neutral
255,a stylish exercise ,1,neutral,neutral
263,"breezy , distracted rhythms ",0,neutral,neutral
268,valuable messages ,1,neutral,neutral
283,acted by diane lane and richard gere . ,1,neutral,neutral
288,rich and full ,1,neutral,neutral
297,handsome but unfulfilling suspense drama ,0,neutral,neutral
312,about love and culture ,1,neutral,neutral
342,"not everything in this ambitious comic escapade works , but coppola , along with his sister , sofia , is a real filmmaker ",1,neutral,neutral
344,taboo subject matter ,0,neutral,neutral
345,see this ,1,neutral,neutral
356,true fans ,1,neutral,neutral
363,a showdown ,1,neutral,neutral
365,greatly ,1,neutral,neutral
366,free ,1,neutral,neutral
367,intriguing species ,1,neutral,neutral
372,far tamer ,0,Neutral,neutral
378,for a story ,1,neutral,neutral
380,right stuff ,1,neutral,neutral
382,high-concept films ,1,neutral,neutral
388,have a passion for the material ,1,neutral,neutral
389,"maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is . ",1,neutral,neutral
391,romanticized rendering ,1,neutral,neutral
408,and in the best way ,1,neutral,neutral
412,this film special ,1,neutral,neutral
423,complex story ,1,neutral,neutral
429,of the best short story writing ,1,neutral,neutral
443,wait to see it then . ,0,neutral,neutral
445,largest-ever historical canvas ,1,neutral,neutral
463,the film 's intimate camera work ,1,neutral,neutral
470,a fairly revealing study of its two main characters ,1,neutral,neutral
472,"may be more genial than ingenious , but it gets the job done . ",1,neutral,neutral
477,"oozing , chilling and heart-warming ",1,neutral,neutral
485,things will turn out okay ,1,neutral,neutral
487,grand ,1,neutral,neutral
491,moving and important ,1,neutral,neutral
493,an avid interest ,1,neutral,neutral
506,war movies ,0,neutral,neutral
513,what you wish for ,1,neutral,neutral
519,book report ,0,neutral,neutral
551,balances both traditional or modern stories together in a manner that one never overwhelms the other . ,1,neutral,neutral
560,movie love ,1,neutral,neutral
577,with the the wisdom and humor of its subjects ,1,neutral,neutral
593,intelligence or invention ,1,neutral,neutral
596,shakespearean -- both in depth and breadth -- ,1,neutral,neutral
597,unique directing style ,1,neutral,neutral
600,hip hop beat ,1,neutral,neutral
626,of masterpiece ,1,neutral,neutral
640,father cliché ,0,neutral,neutral
654,a lot of energy ,1,neutral,neutral
659,"timely , tongue-in-cheek ",1,neutral,neutral
664,efficiency and an affection for the period ,1,neutral,neutral
670,a hint of humor ,1,neutral,neutral
671,with a big heart ,1,neutral,neutral
676,made a decent ` intro ' documentary ,1,neutral,neutral
684,embracing ,1,neutral,neutral
709,", smart and complicated ",1,neutral,neutral
710,"the intimate , unguarded moments of folks who live in unusual homes -- ",0,neutral,neutral
715,accentuating ,1,neutral,neutral
718,endear ,1,neutral,neutral
724,be the cat 's meow ,1,neutral,neutral
727,be part of ,1,neutral,neutral
740,a laugh between them ,1,neutral,neutral
760,revelatory performance ,1,neutral,neutral
768,earnest movie ,1,neutral,neutral
769,effective enough ,1,neutral,neutral
773,still fun and enjoyable and ,1,neutral,neutral
778,an entertainment destination for the general public ,1,neutral,neutral
781,to the enduring strengths of women ,1,neutral,neutral
790,thank ,1,Neutral,neutral
802,tackles the difficult subject of grief and loss ,1,neutral,neutral
804,funny and sad ,1,Neutral,neutral
827,should be poignant ,0,neutral,neutral
831,mug shots ,0,neutral,neutral
835,a classic story ,1,neutral,neutral
836,daring ,1,neutral,neutral
839,convey a strong sense of the girls ' environment . ,1,neutral,neutral
842,any insight ,1,neutral,neutral
853,smart and dark - ,1,neutral,neutral
864,superlative ,1,neutral,neutral
865,buy the soundtrack ,1,neutral,neutral
876,big-hearted and frequently ,1,neutral,neutral
888,that in a good way ,1,neutral,neutral
892,and church meetings ,1,neutral,neutral
904,sustains ,1,neutral,neutral
913,like to skip but film buffs should get to know ,1,neutral,neutral
914,narrative discipline ,1,Neutral,neutral
915,samuel l. jackson ,1,Neutral,neutral
916,is this films reason for being . ,1,neutral,neutral
921,embracing than monty ,1,Neutral,neutral
926,it 's on par with the first one ,1,neutral,neutral
927,"is moody , oozing , chilling and heart-warming all at once ",1,neutral,neutral
940,haphazardness ,0,Neutral,neutral
942,beloved-major ,1,neutral,neutral
943,"by no means a great movie , but it is a refreshingly forthright one . ",1,neutral,neutral
954,even witty ,1,neutral,neutral
964,nearly as fresh or enjoyable ,1,neutral,neutral
978,of classic romantic comedy to which it aspires ,1,neutral,neutral
983,the fine line between cheese and earnestness remarkably well ,1,neutral,neutral
993,its execution and skill ,1,neutral,neutral
1010,sexual and romantic ,1,neutral,neutral
1011,what begins brightly ,1,neutral,neutral
1029,stylish and ,1,neutral,neutral
1057,dreamy ,1,neutral,neutral
1059,the qualities ,1,neutral,neutral
1067,it still works . ,1,neutral,neutral
1087,gripping portrait ,1,neutral,neutral
1093,festival ,1,neutral,neutral
1098,", thought-provoking film ",1,neutral,neutral
1113,off-beat and fanciful ,1,neutral,neutral
1124,fresh-faced ,1,neutral,neutral
1128,worth a recommendation ,1,neutral,neutral
1129,bigger ,1,Neutral,neutral
1130,our best achievements and other times ,1,neutral,neutral
1133,in private ,1,neutral,neutral
1140,it 's about family ,1,neutral,neutral
1141,life and love ,1,neutral,neutral
1143,a twist ,1,neutral,neutral
1152,to set and shoot a movie at the cannes film festival ,1,neutral,neutral
1153,"a smoother , more focused ",1,neutral,neutral
1156,zealand coming-of-age movie ,1,neutral,neutral
1170,more than ably ,1,Neutral,neutral
1183,more graceful way ,1,neutral,neutral
1185,will turn out ,1,neutral,neutral
1210,many of the things that made the first one charming ,1,neutral,neutral
1221,a treatise on spirituality as well as a solid sci-fi thriller ,1,Neutral,neutral
1233,touching reflection ,1,neutral,neutral
1250,lightweight filmmaking ,0,neutral,neutral
1260,a legendary professor ,1,neutral,neutral
1265,be able to look away for a second ,1,neutral,neutral
1267,a legacy ,1,neutral,neutral
1270,the wisdom and humor ,1,neutral,neutral
1276,coen brothers ,1,neutral,neutral
1279,"well , it probably wo n't have you swinging from the trees hooting it 's praises , but it 's definitely worth taking a look . ",1,neutral,neutral
1282,"the fourth `` pokemon '' is a diverting -- if predictable -- adventure suitable for a matinee , with a message that cautions children about disturbing the world 's delicate ecological balance . ",1,neutral,neutral
1302,went back ,1,neutral,neutral
1308,attentive ,1,neutral,neutral
1311,a dependable concept ,1,neutral,neutral
1313,least ,0,Neutral,neutral
1314,very light ,1,neutral,neutral
1327,energetic ,1,neutral,neutral
1334,long and eventful ,1,neutral,neutral
1343,"( or role , or edit , or score , or anything , really ",0,neutral,neutral
1346,in a standard plot ,0,neutral,neutral
1363,is god ,1,neutral,neutral
1364,floating narrative ,1,neutral,neutral
1378,bound ,1,neutral,neutral
1399,participation ,1,Neutral,neutral
1412,one-hour mark ,1,neutral,neutral
1421,grows ,1,neutral,neutral
1426,caliber ,1,neutral,neutral
1427,balanced film ,1,neutral,neutral
1431,is built on a potentially interesting idea ,1,neutral,neutral
1444,incessantly ,0,Neutral,neutral
1447,at existing photos ,1,neutral,neutral
1457,tv ,1,neutral,neutral
1459,demonstrating vividly ,1,neutral,neutral
1463,favor of tradition and warmth ,1,neutral,neutral
1465,has much to recommend it ,1,neutral,neutral
1467,a simple tale ,1,neutral,neutral
1471,this amiable picture ,1,neutral,neutral
1483,relative modesty ,1,neutral,neutral
1493,is virtually without context -- journalistic or historical ,0,neutral,neutral
1497,intricate plot ,1,neutral,neutral
1513,impersonal and abstract ,0,neutral,neutral
1522,an original ,1,neutral,neutral
1530,brought to life on the big screen ,1,neutral,neutral
1543,ethics ,1,Neutral,neutral
1544,that rare animal known as ' a perfect family film ,1,neutral,neutral
1548,with real world events ,1,neutral,neutral
1553,"acceptable , occasionally very enjoyable ",1,neutral,neutral
1572,this picture ,1,neutral,neutral
1573,increasingly diverse french director ,1,neutral,neutral
1579,save their children ,1,neutral,neutral
1588,existential exploration ,1,neutral,neutral
1589,"road movie , coming-of-age story and political satire ",1,neutral,neutral
1604,the road ,1,neutral,neutral
1607,little more than a well-mounted history lesson . ,0,neutral,neutral
1608,to the film 's music ,1,neutral,neutral
1609,and dog lovers ,1,neutral,neutral
1610,moving tale ,1,neutral,neutral
1611,no surprises ,0,neutral,neutral
1620,has been ,1,neutral,neutral
1632,the filling ,1,neutral,neutral
1641,welcome with audiences ,1,neutral,neutral
1645,do with imagination ,1,neutral,neutral
1647,dumplings ,1,neutral,neutral
1677,of more appealing holiday-season product ,1,neutral,neutral
1679,a thoughtful and unflinching examination of an alternative lifestyle ,1,neutral,neutral
1681,dialogue and sharp ,1,neutral,neutral
1683,graduated ,1,neutral,neutral
1685,enriched ,1,Neutral,neutral
1689,that manages to invest real humor ,1,neutral,neutral
1699,xmas ,1,neutral,neutral
1700,", it does give exposure to some talented performers ",1,neutral,neutral
1718,sappiness ,0,Neutral,neutral
1720,loose ,0,neutral,neutral
1721,looking and stylish ,1,neutral,neutral
1770,of its epic scope ,1,neutral,neutral
1772,of heartfelt performances ,1,neutral,neutral
1781,right place ,1,neutral,neutral
1784,"pacino and williams seem to keep upping the ante on each other , just as their characters do in the film . ",1,neutral,neutral
1798,expresses our most basic emotions ,1,neutral,neutral
1802,a non-mystery mystery . ,0,neutral,neutral
1805,"a smart and funny , albeit sometimes superficial , cautionary tale of a technology in search of an artist ",1,neutral,neutral
1811,to remember ,1,neutral,neutral
1812,is a real filmmaker ,1,neutral,neutral
1821,as brave and challenging ,1,neutral,neutral
1822,above pat inspirational status ,1,neutral,neutral
1824,"moving , and adventurous ",1,neutral,neutral
1826,place and personal identity ,1,neutral,neutral
1830,"serious subject matter and dark , funny humor ",1,neutral,neutral
