idx,text,label,prediction,cleaned_prediction,sentiment_label
27,in world cinema ,1,neutral,neutral,neutral
81,generates ,1,neutral,neutral,neutral
92,strung-together moments ,0,neutral,neutral,neutral
93,", generous and subversive artworks ",1,neutral,neutral,neutral
100,in memory ,1,neutral,neutral,neutral
111,hawaiian shirt ,1,neutral,neutral,neutral
147,realistic portrayal ,1,neutral,neutral,neutral
153,the promise of digital filmmaking ,1,neutral,neutral,neutral
177,imax in short ,1,neutral,neutral,neutral
200,told in scattered fashion ,0,neutral,neutral,neutral
212,"if it is n't entirely persuasive , it does give exposure to some talented performers ",1,neutral,neutral,neutral
231,merit its 103-minute length ,1,neutral,neutral,neutral
233,as a dentist 's waiting room ,0,neutral,neutral,neutral
243,traditionally structured ,1,neutral,neutral,neutral
263,"breezy , distracted rhythms ",0,neutral,neutral,neutral
283,acted by diane lane and richard gere . ,1,neutral,neutral,neutral
312,about love and culture ,1,neutral,neutral,neutral
331,men ,1,neutral,neutral,neutral
344,taboo subject matter ,0,neutral,neutral,neutral
345,see this ,1,neutral,neutral,neutral
365,greatly ,1,neutral,neutral,neutral
366,free ,1,neutral,neutral,neutral
378,for a story ,1,neutral,neutral,neutral
379,in addition to hoffman 's powerful acting clinic ,1,neutral,neutral,neutral
391,romanticized rendering ,1,neutral,neutral,neutral
423,complex story ,1,neutral,neutral,neutral
424,atop wooden dialogue ,0,neutral,neutral,neutral
443,wait to see it then . ,0,neutral,neutral,neutral
470,a fairly revealing study of its two main characters ,1,neutral,neutral,neutral
472,"may be more genial than ingenious , but it gets the job done . ",1,neutral,neutral,neutral
487,grand ,1,neutral,neutral,neutral
493,an avid interest ,1,neutral,neutral,neutral
513,what you wish for ,1,neutral,neutral,neutral
519,book report ,0,neutral,neutral,neutral
577,with the the wisdom and humor of its subjects ,1,neutral,neutral,neutral
593,intelligence or invention ,1,neutral,neutral,neutral
600,hip hop beat ,1,neutral,neutral,neutral
684,embracing ,1,neutral,neutral,neutral
715,accentuating ,1,neutral,neutral,neutral
724,be the cat 's meow ,1,neutral,neutral,neutral
727,be part of ,1,neutral,neutral,neutral
740,a laugh between them ,1,neutral,neutral,neutral
769,effective enough ,1,neutral,neutral,neutral
790,thank ,1,neutral,neutral,neutral
804,funny and sad ,1,neutral,neutral,neutral
842,any insight ,1,neutral,neutral,neutral
864,superlative ,1,neutral,neutral,neutral
892,and church meetings ,1,neutral,neutral,neutral
904,sustains ,1,neutral,neutral,neutral
913,like to skip but film buffs should get to know ,1,neutral,neutral,neutral
914,narrative discipline ,1,neutral,neutral,neutral
915,samuel l. jackson ,1,neutral,neutral,neutral
926,it 's on par with the first one ,1,neutral,neutral,neutral
964,nearly as fresh or enjoyable ,1,neutral,neutral,neutral
1010,sexual and romantic ,1,neutral,neutral,neutral
1059,the qualities ,1,neutral,neutral,neutral
1093,festival ,1,neutral,neutral,neutral
1128,worth a recommendation ,1,neutral,neutral,neutral
1129,bigger ,1,neutral,neutral,neutral
1130,our best achievements and other times ,1,neutral,neutral,neutral
1133,in private ,1,neutral,neutral,neutral
1140,it 's about family ,1,neutral,neutral,neutral
1143,a twist ,1,neutral,neutral,neutral
1250,lightweight filmmaking ,0,neutral,neutral,neutral
1265,be able to look away for a second ,1,neutral,neutral,neutral
1267,a legacy ,1,neutral,neutral,neutral
1276,coen brothers ,1,neutral,neutral,neutral
1302,went back ,1,neutral,neutral,neutral
1334,long and eventful ,1,neutral,neutral,neutral
1343,"( or role , or edit , or score , or anything , really ",0,neutral,neutral,neutral
1346,in a standard plot ,0,neutral,neutral,neutral
1363,is god ,1,neutral,neutral,neutral
1364,floating narrative ,1,neutral,neutral,neutral
1399,participation ,1,neutral,neutral,neutral
1412,one-hour mark ,1,neutral,neutral,neutral
1421,grows ,1,neutral,neutral,neutral
1426,caliber ,1,neutral,neutral,neutral
1431,is built on a potentially interesting idea ,1,neutral,neutral,neutral
1447,at existing photos ,1,neutral,neutral,neutral
1467,a simple tale ,1,neutral,neutral,neutral
1513,impersonal and abstract ,0,neutral,neutral,neutral
1522,an original ,1,neutral,neutral,neutral
1543,ethics ,1,neutral,neutral,neutral
1572,this picture ,1,neutral,neutral,neutral
1588,existential exploration ,1,neutral,neutral,neutral
1589,"road movie , coming-of-age story and political satire ",1,neutral,neutral,neutral
1604,the road ,1,neutral,neutral,neutral
1609,and dog lovers ,1,neutral,neutral,neutral
1620,has been ,1,neutral,neutral,neutral
1632,the filling ,1,neutral,neutral,neutral
1645,do with imagination ,1,neutral,neutral,neutral
1647,dumplings ,1,neutral,neutral,neutral
1681,dialogue and sharp ,1,neutral,neutral,neutral
1683,graduated ,1,neutral,neutral,neutral
1685,enriched ,1,neutral,neutral,neutral
1720,loose ,0,neutral,neutral,neutral
1811,to remember ,1,neutral,neutral,neutral
1826,place and personal identity ,1,neutral,neutral,neutral
1830,"serious subject matter and dark , funny humor ",1,neutral,neutral,neutral
1847,romp that has something to say . ,1,neutral,neutral,neutral
1852,turntablism ,1,neutral,neutral,neutral
1855,unlike ,0,neutral,neutral,neutral
1865,worked ,1,neutral,neutral,neutral
1883,"aims to be funny , uplifting and moving , sometimes ",1,neutral,neutral,neutral
1905,his martial artistry ,1,neutral,neutral,neutral
1917,"does a great combination act as narrator , jewish grandmother and subject -- ",1,neutral,neutral,neutral
1950,terms of the low-grade cheese standards on which it operates ,0,neutral,neutral,neutral
1956,freshman ,1,neutral,neutral,neutral
1958,an actress ,1,neutral,neutral,neutral
1966,create and sustain a mood ,1,neutral,neutral,neutral
1967,as a real movie ,1,neutral,neutral,neutral
1969,"entertaining enough , but nothing new ",0,neutral,neutral,neutral
1976,ellen pompeo sitting next to you for the ride ,1,neutral,neutral,neutral
1981,the kind of ` laugh therapy ' ,1,neutral,neutral,neutral
1983,of his character ,1,neutral,neutral,neutral
2043,salient points ,1,neutral,neutral,neutral
2058,african american professionals ,1,neutral,neutral,neutral
2063,", structure and rhythms ",1,neutral,neutral,neutral
2069,personality ,1,neutral,neutral,neutral
2083,complex ,1,neutral,neutral,neutral
2185,by the dynamic first act ,1,neutral,neutral,neutral
2201,what makes it worth watching ,1,neutral,neutral,neutral
2218,can be viewed as pure composition and form -- ,1,neutral,neutral,neutral
2288,conceptual feat ,1,neutral,neutral,neutral
2296,simply by accident ,0,neutral,neutral,neutral
2321,kid-empowerment ,1,neutral,neutral,neutral
2390,the gloss ,1,neutral,neutral,neutral
2420,watch on video at home ,0,neutral,neutral,neutral
2423,of all ages ,1,neutral,neutral,neutral
