text,answer,prediction
"Consider whether the headline mentions the price of gold.. Is there a Price or Not in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: Trading partners unlikely to take India’s gold import curbs lightly
Answer:",No,No.
"Look for indications that the price of gold is increasing.. Is there a Direction Up in the gold commodity market indicated in the news headline? Please answer Yes or No.
Text: Trading partners unlikely to take India’s gold import curbs lightly
Answer:",No,No
"Look for indications that the price of gold is decreasing.. Does the news headline suggest a Direction Down for gold? Your response should be Yes or No.
Text: Trading partners unlikely to take India’s gold import curbs lightly
Answer:",No,No
"Look for indications that the price of gold is stable.. Is there a mention of a Direction Constant in relation to gold in the news headline? Please answer with Yes or No.
Text: Trading partners unlikely to take India’s gold import curbs lightly
Answer:",No,No
"Consider whether the headline references past prices of gold.. Does the news headline indicate a PastPrice in the context of gold commodities? Your answer should be Yes or No.
Text: Trading partners unlikely to take India’s gold import curbs lightly
Answer:",No,No.
"Look for any mention of future gold prices.. Does the news headline provide information on a FuturePrice regarding gold? Your answer should be either Yes or No.
Text: Trading partners unlikely to take India’s gold import curbs lightly
Answer:",No,No
"Consider whether the headline discusses past events related to gold.. Does the news headline indicate a PastNews in the context of gold commodities? Your answer should be Yes or No.
Text: Trading partners unlikely to take India’s gold import curbs lightly
Answer:",Yes,No
"Look for any references to future events concerning gold.. Is the news headline discussing a FutureNews related to gold? Please respond with Yes or No.
Text: Trading partners unlikely to take India’s gold import curbs lightly
Answer:",No,No
"Consider if the headline compares gold with other assets.. Does the news headline indicate a Asset Comparision in the context of gold commodities? Your answer should be Yes or No.
Text: Trading partners unlikely to take India’s gold import curbs lightly
Answer:",No,No.
"Consider whether the headline mentions the price of gold.. Does the news headline mention anything about a Price or Not in gold commodities? Please answer Yes or No.
Text: gold jumps more than $10 as draghi boosts euro
Answer:",Yes,No.
"Look for indications that the price of gold is increasing.. In the context of gold, is there a Direction Up implied in the news headline? Respond with Yes or No.
Text: gold jumps more than $10 as draghi boosts euro
Answer:",Yes,No
"Look for indications that the price of gold is decreasing.. In the context of gold, is there a Direction Down implied in the news headline? Respond with Yes or No.
Text: gold jumps more than $10 as draghi boosts euro
Answer:",No,No
"Look for indications that the price of gold is stable.. Is there a mention of a Direction Constant in relation to gold in the news headline? Please answer with Yes or No.
Text: gold jumps more than $10 as draghi boosts euro
Answer:",No,No
"Consider whether the headline references past prices of gold.. Does the news headline suggest a PastPrice for gold? Your response should be Yes or No.
Text: gold jumps more than $10 as draghi boosts euro
Answer:",Yes,No
