text,answer,prediction
$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,negative,Negative
Legal & General share price: Finance chief to step down,negative,Negative
Kingfisher share price slides on cost to implement new strategy,negative,Negative
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,negative,Negative
Tesco share price tumbles after negative broker note,negative,Negative
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative,Negative
City spirits sink after Diageo comes up short with sales slide,negative,Negative
$renn topping tail 5 min. chart at 7.31 short from here.,negative,Negative
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",negative,Negative
$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,negative,Negative
"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",negative,Negative
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",negative,Negative
$COST Costco less than stellar day but it held the 50 day moving average,negative,Neutral
"Tesco set to sell Kipa, Giraffe businesses - Sky News",negative,Negative
Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,negative,Neutral
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative,Negative
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,negative,Negative
$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,negative,Negative
Timberrrr $TSLA https://t.co/MRBgfDHHVa,negative,Negative
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,negative,Positive
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",negative,Positive
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,negative,Negative
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",negative,Negative
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,negative,Negative
"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA",negative,Negative
@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,negative,Negative
"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",negative,Negative
$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,negative,Negative
@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,negative,Negative
$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,negative,Negative
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,negative,Negative
"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",negative,Negative
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",negative,Negative
"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS",negative,Negative
"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",negative,Negative
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",negative,Negative
New Credit Suisse boss faces stiff challenge in Asia,negative,Negative
Shell share price: Standard Life announce position against BG acquisition,negative,Negative
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,negative,Negative
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative,Negative
"Royal Mail, Johnson Matthey lead FTSE lower",negative,Negative
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,negative,Negative
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",negative,Negative
"Tesco, Asda sales fall as march of the discounters continues: Kantar",negative,Negative
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,negative,Negative
3rd red day in a row ? $TSLA,negative,Negative
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",negative,Negative
HSBC Says Unit to Book $585 Million Charge on Settlement,negative,Negative
US dollar wipes out sales gains for SABMiller,negative,Negative
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,negative,Negative
$INTC finally some nice downside move... looking for the 31 handle to break,negative,Negative
@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,negative,Neutral
"FTSE led lower by M&S, GlaxoSmithKline",negative,Negative
$MPWR CEO sells 450k april 15th..meh,negative,Neutral
"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",negative,Negative
$FB $AAPL $NKE $JWN bearish charts keep getting worse.,negative,Negative
$GRPN might be selling off ahead of $P earnings...,negative,Negative
Standard Chartered Shifts Emerging-Markets Strategy After Losses,negative,Negative
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,negative,Negative
Diageo receives reports from United Spirits on financial irregularities involving ...,negative,Negative
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,negative,Negative
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",negative,Negative
Diageo receives reports from United Spirits on financial irregularities involving ...,negative,Negative
"Berkshire discloses unit's ties to Iran, opens probe",negative,Negative
$SBUX heading for the 200DMA and certain doom if it can not hold there.,negative,Negative
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",negative,Neutral
for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,negative,Negative
$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,negative,Negative
Glencore slumps 25 pct as debt fears grow,negative,Negative
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative,Negative
$SPY bull move ended waiting for next setup,negative,Positive
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative,Negative
AstraZeneca diabetes drug combination faces delay after FDA rebuff,negative,Negative
$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,negative,Negative
Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,negative,Negative
$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative,Neutral
Relief for Lewis as Tesco sees sales grow for first time in a year,positive,Positive
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,positive,Neutral
Morrisons and Debenhams surprise City with Christmas bounce back,positive,Positive
$ISRG Break out confirmed. Bought Leaps. Good trading!,positive,Positive
Morning Agenda: Shire's Deal for NPS,positive,Positive
Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,positive,Negative
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,positive,Negative
Activision Blizzard Media Networks Announces Record #Esports Viewership https://t.co/729BiqLbtK $ATVI partnered with $HDSI for 9 #tournament,positive,Positive
ICE Said to Start Lining Up Financing for LSE Bidding War,positive,Neutral
Shire proposes $30 bln all-share tie-up with Baxalta,positive,Neutral
5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5,positive,Positive
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,positive,Negative
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,positive,Positive
Entertainment One dispels ITV takeover rumours,positive,Neutral
New Morrisons duo get former boss's support to diffuse investor tension,positive,Positive
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,positive,Negative
$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,positive,Positive
$CTRP not a bad long chart now that it's through sma100 resistance.,positive,Positive
"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",positive,Positive
$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,positive,Positive
ARM Royalties Accelerate as Smartphone Market Regains Strength,positive,Positive
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,positive,Positive
Seat belt recall? who cares....  I'm a buyer $TSLA,positive,Negative
#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,positive,Positive
$YANG Double bottom 5.2,positive,Negative
Berkshire applies to boost Wells Fargo stake above 10 percent,positive,Neutral
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,positive,"Neutral (Note from the perspective of emotional tone, it seems like you have some long positions in stocks and short position on VIX which might be seen as neutral)"
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,positive,Negative
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,positive,Negative
AstraZeneca weighing up Acerta bid to secure blood cancer drug,positive,Neutral
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",positive,Positive
Priceline's stock jumps to new high for the year after Barclays upgrade,positive,Positive
CompaniesUnilever sales lifted by ice cream in soft economy,positive,Positive
$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,positive,Negative
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",positive,Positive
WPP boosts sales despite cautious clients,positive,Positive
Amazon's grocery deal with Morrisons is only the beginning,positive,Positive
Insight hires Aviva's David Hillier for multi-asset team,positive,Positive
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",positive,Positive
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive,Positive
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,positive,Positive
