text,answer
$BBRY Actually lost .03c per share if U incl VZ as no debt and 3.1 in Cash.,negative
Legal & General share price: Finance chief to step down,negative
Kingfisher share price slides on cost to implement new strategy,negative
EasyJet Dismisses Lufthansa Low-Cost Plan in Contest for Germany,negative
Tesco share price tumbles after negative broker note,negative
$KIOR My god. Market getting crushed today. Gotta hold if anything g should recover some tomorrow I imagine.,negative
City spirits sink after Diageo comes up short with sales slide,negative
$renn topping tail 5 min. chart at 7.31 short from here.,negative
"Tesla to recall 2,700 Model X SUVs over seat issue https://t.co/OdPraN59Xq $TSLA https://t.co/xvn4blIwpy https://t.co/ThfvWTnRPs",negative
$GLD http://stks.co/44ow On closer inspection.  Resistance 10 points north at 200d and downward trendline. Chart 2 of 2.,negative
"Fastenal misses by $0.01, misses on revenue $FAST #NYSE https://t.co/63JHQ7pwMN",negative
"Oil majors like Royal Dutch Shell, Chevron, BP fail to find reserves to counter ...",negative
$COST Costco less than stellar day but it held the 50 day moving average,negative
"Tesco set to sell Kipa, Giraffe businesses - Sky News",negative
Multi Top on $MCD chart finally leads to a fall in price.  Stability is questioned in the stock but coming weeks will tell.,negative
$NQ got hit hard lower this AM --> looks like it has found support a 18.89 http://stks.co/s052z,negative
#Tesla: Model X Recall Adds To Reliability Issues $TSLA https://t.co/jVXQ4DoXnP,negative
$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,negative
Timberrrr $TSLA https://t.co/MRBgfDHHVa,negative
Here come the shorts marchin' in.  $GMCR.  Lovin' it!,negative
"Sainsbury's, Asda, Tesco and Morrisons will all cut petrol prices as oil falls ...",negative
$LNKD Daily Phase 2 retest - Price experiencing early rejection. Can it retest? http://stks.co/t04xX,negative
"U.K. Stocks Little Changed Near Record as Barclays, Shell Fall",negative
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,negative
"Tesla Motors recalls 2,700 Model X SUVs https://t.co/BFWS3DbM0U $TSLA",negative
@1nvestor: $SODA has a 42.71% Float Short. LoL  http://stks.co/e0DfP,negative
"$RXII Tang really is toxic, they keep bringing the share price down. At least they could let it climb a little before dragging it down.",negative
$AMRN You can many times find top and bottoms when shorts start rejoicing or bulls start rejoicing. Currently it is the shorts rejoicing,negative
@Joerazorback This time I think $AAPL will miss again. Generally speaking market is near top when everyone thinks that market goes only up,negative
$EBAY  e-bay bay!  working on a couple daily dojis .. should continue to the downside  https://t.co/lgU0yBxEZe,negative
Is Trouble Brewing At Legal & General Group Plc And Aviva plc?,negative
"@Dlerch LOL! $FMCN back under $17, darn those shorts! No chit Sherlock!",negative
"Saudi Aramco, Shell plan to break up Motiva, divide up assets",negative
"Tesla: Voluntary recall of 2,700 Model X vehicles, due to back seat issue. $TSLA https://t.co/NPAkc3U6GS",negative
"$QIHU totally missed this one, was about to jump in on that 60 break test but didn't, congrats shorts",negative
"RT @Cash_Cow $TLT still has a rising RSI & MACD, all this bond buying is signaling some bad moves for the market. $SPY $UUP",negative
New Credit Suisse boss faces stiff challenge in Asia,negative
Shell share price: Standard Life announce position against BG acquisition,negative
Industry NewsMorrisons unveils which stores will close as 900 jobs face the axe,negative
@chessNwine: $IWM 30-Minute Chart. Small caps threatening descending triangle breakdown under $110.20.  http://stks.co/r0KKm,negative
"Royal Mail, Johnson Matthey lead FTSE lower",negative
Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,negative
"Glencore Cuts 2015 Budget, Plans To Divest From Lonmin",negative
"Tesco, Asda sales fall as march of the discounters continues: Kantar",negative
$mcp rolling over for a new intraday low. Bottom Pickers continue to get destroyed,negative
3rd red day in a row ? $TSLA,negative
"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",negative
HSBC Says Unit to Book $585 Million Charge on Settlement,negative
US dollar wipes out sales gains for SABMiller,negative
UPDATE 3-Ex-Barclays director accused by US of illegal tips to plumber,negative
$INTC finally some nice downside move... looking for the 31 handle to break,negative
@gakrum nice chart shows distinctive down channel not a dip.. where do you see the bottom? $SPY ..$150? ..$130?,negative
"FTSE led lower by M&S, GlaxoSmithKline",negative
$MPWR CEO sells 450k april 15th..meh,negative
"$SLV POS, been saying it for 2 years. Going lower. Forget about it or go short.",negative
$FB $AAPL $NKE $JWN bearish charts keep getting worse.,negative
$GRPN might be selling off ahead of $P earnings...,negative
Standard Chartered Shifts Emerging-Markets Strategy After Losses,negative
Tesco share price dips as Blinkbox Books closes ending supermarket's digital ...,negative
Diageo receives reports from United Spirits on financial irregularities involving ...,negative
Starbucks downgraded on same day as new downgraded rewards program starts  $SBUX,negative
"Royal Mail 'breached competition law' over delivery service changes, Ofcom claims",negative
Diageo receives reports from United Spirits on financial irregularities involving ...,negative
"Berkshire discloses unit's ties to Iran, opens probe",negative
$SBUX heading for the 200DMA and certain doom if it can not hold there.,negative
"FDA panel backs safety updates for AstraZeneca, Takeda drugs",negative
for @vnoto74 to follow:  after a SELL signal by $NDX internals [06/23] ~> technical SELL $QQQ [06/25] ~> DOWN,negative
$SPY $MITK fast 56pc dive http://stks.co/3ffN $$,negative
Glencore slumps 25 pct as debt fears grow,negative
Doubts grow over GlaxoSmithKline's $6 bln capital return plan,negative
$SPY bull move ended waiting for next setup,negative
$SAP Q1 disappoints as #software licenses down. Real problem? #Cloud growth trails $MSFT $ORCL $GOOG $CRM $ADBE https://t.co/jNDphllzq5,negative
AstraZeneca diabetes drug combination faces delay after FDA rebuff,negative
$GOOGL Hit With Lawsuit from Russian Search Engine $YNDX http://stks.co/b1kD8,negative
Deutsche Bank downgrades Starbucks because of new loyalty program https://t.co/Iy4LCUGABc $SBUX,negative
$AAPL Beat the estimates. Will still go down on lack of new products. https://t.co/sX3z7u6N8o,negative
Relief for Lewis as Tesco sees sales grow for first time in a year,positive
AstraZeneca And Daiichi Sankyo To Jointly Commercialise MOVANTIK In The US,positive
Morrisons and Debenhams surprise City with Christmas bounce back,positive
$ISRG Break out confirmed. Bought Leaps. Good trading!,positive
Morning Agenda: Shire's Deal for NPS,positive
Apple: Another attempt to break out on Apple but with weak PVT   $AAPL #Trading #investing #aapl https://t.co/DNh7Hgv22V,positive
News FeedFTSE 100 movers: LSE surges as ICE says mulling offer; Ashtead and Barclays tank,positive
Activision Blizzard Media Networks Announces Record #Esports Viewership https://t.co/729BiqLbtK $ATVI partnered with $HDSI for 9 #tournament,positive
ICE Said to Start Lining Up Financing for LSE Bidding War,positive
Shire proposes $30 bln all-share tie-up with Baxalta,positive
5-star analyst @brianwieser from Pivotal Research upgraded rating on $GOOGL to BUY. Brian has a 79% success rate https://t.co/t0dn02EOH5,positive
Lloyds Banking Group's share price lifts amid reports bank is poised to axe hundreds of UK jobs,positive
Amazon declares 'best ever' Black Friday and Cyber Monday for Kindle family http://stks.co/cEtw via Engadget $AMZN,positive
Entertainment One dispels ITV takeover rumours,positive
New Morrisons duo get former boss's support to diffuse investor tension,positive
$PLUG Closed short position. Small gain. Not interested in options expiring worthless,positive
$RSH - looking for first profitable quarter in 3 years!!!  ;).  LONG & STRONG,positive
$CTRP not a bad long chart now that it's through sma100 resistance.,positive
"Qualcomm: 10% Dividend Increase Rewards Patient Investors, The Future Looks Bright https://t.co/TJjVpqhHqD $QCOM",positive
$ASTX Daily technical indicators are bullish. Breakout watch over 4.58  http://stks.co/eOvw,positive
ARM Royalties Accelerate as Smartphone Market Regains Strength,positive
Slowly adding some $FIO here but gotta be careful. This will be one of biggest winners in 2012,positive
Seat belt recall? who cares....  I'm a buyer $TSLA,positive
#Tesla Model S deliveries are up 35% in Germany - record deliveries in March [Chart] https://t.co/yCnClcBImV  $TSLA,positive
$YANG Double bottom 5.2,positive
Berkshire applies to boost Wells Fargo stake above 10 percent,positive
Current holdings via options - Long: $AAPL $V $GS $AET & Short: $VXX,positive
LSE-Deutsche Boerse merger would signal end to exchange mega-deals,positive
GE to Sell Majority Stake in Bank BPH's Core Bank to Alior Bank,positive
AstraZeneca weighing up Acerta bid to secure blood cancer drug,positive
"U.K. Stocks Resume Gains to Rally to Record; CRH, Tullow Climb",positive
Priceline's stock jumps to new high for the year after Barclays upgrade,positive
CompaniesUnilever sales lifted by ice cream in soft economy,positive
$TNH Looks like an explosive setup if it can break the 20EMA and 105 level http://stks.co/b1SVH,positive
"WPP, World's Largest Ad Agency, Reports Strong 2015 Growth",positive
WPP boosts sales despite cautious clients,positive
Amazon's grocery deal with Morrisons is only the beginning,positive
Insight hires Aviva's David Hillier for multi-asset team,positive
"UPDATE: Persimmon Profit Up Strongly, Outlook Positive",positive
$CRM Sep 40 calls are +35% since entry #BANG http://stks.co/deDm,positive
BRIEF-Aviva aims to increase dividend pay-out ratio to 50 pct in 2017,positive
longed $AMZN 300 @ 189.82,positive
AB InBev looks to win over SABMiller investors,positive
"$CNP Sell Short Position on CNP,...Closed for Profit $ 59,367.00 (7.75%) http://stks.co/ghjc",positive
$IACI http://stks.co/tJU Looks good on the weekly chart.,positive
CompaniesDixons Carphone to close 134 UK stores as sales jump,positive
$brcm raises revenue forecast,positive
"$YNDX and the price of some stocks was 2 times lower then annual earnings, I could not resist, I  was buying when everyone was selling",positive
"$pcln back over ""up"" trendline from 10/4",positive
@Vegastrader66 Looks like good entry for $QIHU here.,positive
"Irish Said Chasing Standard Chartered, RBS as Brexit Vote Nears",positive
"$LULU http://stks.co/o17i Bounced off support early in week - now indicators turning up (RSI, MACD, SMI) Worth a look",positive
"FBR Capital reiterated ""Outperform"" rating on $BRCM with a price target of $45.00 on Friday.",positive
"$TYC just about to break out to new highs, lots of technicals looking great right now.",positive
"Baird likes $TSLA - upgrades to outperform, lifts price target to $300. Research firm also sees no capital raise necessary in next few qtrs",positive
"09:01 AM      $AKS  DJ AK Steel Revenue Rises 36% on Auto Sector Demand, Acquisition",positive
NYSE owner ICE considers offer for LSE,positive
$TRX http://stks.co/1KkK Long setup. MACD cross.,positive
$RDC Rowan Expands Share Repurchase Program to $150 million,positive
"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive
Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,positive
"Aviva, Friends Life top forecasts ahead of 5.6 billion pound merger",positive
Sophos aims to raise $100m in London IPO,positive
$SPY http://stks.co/1MiR We're holding above Wednesday and Thursday closes. I'm leaning bullish. Small postions. Waiting.,positive
Johnson Matthey raises prospect of investor payout,positive
"Britain's FTSE gains, Land Securities up after dividend hike",positive
$FTI Breakout today after reporting earnings last night,positive
FDA approves Shire's Vyvanse for binge-eating disorder,positive
Travis Perkins Hikes Dividend 20% As Profit And Revenue Rise,positive
