idx,text,label,prediction
0,hide new secretions from the parental units ,0,negative
1,"contains no wit , only labored gags ",0,negative
2,that loves its characters and communicates something rather beautiful about human nature ,1,positive
3,remains utterly satisfied to remain the same throughout ,0,positive
4,on the worst revenge-of-the-nerds clichés the filmmakers could dredge up ,0,negative
5,that 's far too tragic to merit such superficial treatment ,0,negative
6,"demonstrates that the director of such hollywood blockbusters as patriot games can still turn out a small , personal film with an emotional wallop . ",1,positive
7,of saucy ,1,negative
8,a depressed fifteen-year-old 's suicidal poetry ,0,negative
9,are more deeply thought through than in most ` right-thinking ' films ,1,positive
10,goes to absurd lengths ,0,negative
11,for those moviegoers who complain that ` they do n't make movies like they used to anymore ,0,negative
12,"the part where nothing 's happening , ",0,negative
13,saw how bad this movie was ,0,negative
14,lend some dignity to a dumb story ,0,negative
15,the greatest musicians ,1,positive
16,cold movie ,0,negative
17,with his usual intelligence and subtlety ,1,positive
18,redundant concept ,0,negative
19,"swimming is above all about a young woman 's face , and by casting an actress whose face projects that woman 's doubts and yearnings , it succeeds . ",1,positive
20,equals the original and in some ways even betters it ,1,positive
21,"if anything , see it for karen black , who camps up a storm as a fringe feminist conspiracy theorist named dirty dick . ",1,negative
22,a smile on your face ,1,positive
23,"comes from the brave , uninhibited performances ",1,positive
24,excruciatingly unfunny and pitifully unromantic ,0,negative
25,enriched by an imaginatively mixed cast of antic spirits ,1,positive
26,"which half of dragonfly is worse : the part where nothing 's happening , or the part where something 's happening ",0,negative
27,in world cinema ,1,neutral
28,very good viewing alternative ,1,positive
29,"the plot is nothing but boilerplate clichés from start to finish , ",0,negative
30,the action is stilted ,0,negative
31,on all cylinders ,1,positive
32,"will find little of interest in this film , which is often preachy and poorly acted ",0,negative
33,by far the worst movie of the year ,0,negative
34,"sit through , ",0,negative
35,more than another `` best man '' clone by weaving a theme throughout this funny film ,1,positive
36,it 's about issues most adults have to face in marriage and i think that 's what i liked about it -- the real issues tucked between the silly and crude storyline ,1,positive
37,heroes ,1,positive
38,oblivious to the existence of this film ,0,negative
39,sharply ,1,negative
40,"the entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense . ",0,negative
41,sometimes dry ,0,negative
42,"as they come , already having been recycled more times than i 'd care to count ",0,negative
43,"covers this territory with wit and originality , suggesting that with his fourth feature ",1,positive
44,a $ 40 million version of a game ,0,positive
45,gorgeous and deceptively minimalist ,1,positive
46,cross swords with the best of them and ,1,positive
47,as a fringe feminist conspiracy theorist ,0,negative
48,"proves once again he has n't lost his touch , bringing off a superb performance in an admittedly middling film . ",1,positive
49,disappointments ,0,negative
50,the horrors ,0,negative
51,a muddle splashed with bloody beauty as vivid as any scorsese has ever given us . ,1,positive
52,many pointless ,0,negative
53,a beautifully ,1,positive
54,"contrived , well-worn situations ",0,negative
55,a doa ,0,negative
56,poor ben bratt could n't find stardom if mapquest emailed him point-to-point driving directions . ,0,negative
57,to be as subtle and touching as the son 's room ,1,negative
58,starts with a legend ,1,positive
59,far less sophisticated and ,0,negative
60,rich veins of funny stuff in this movie ,1,positive
61,no apparent joy ,0,negative
62,shot on ugly digital video ,0,negative
63,... a sour little movie at its core ; an exploration of the emptiness that underlay the relentless gaiety of the 1920 's ... the film 's ending has a `` what was it all for ? '' ,0,negative
